issn,subject
00207489,1.0
26441314,1.0
22110348,1.0
20752180,1.0
08915849,1.0
14783223,1.0
2662995X,1.0
22221751,1.0
26665247,1.0
17501172,1.0
01615505,1.0
26664224,1.0
15387836,1.0
00411337,1.0
09387994,1.0
07383991,1.0
26410478,1.0
22915222,1.0
09503293,1.0
13899457,1.0
00099236,1.0
00448249,1.0
1526498X,1.0
00321052,1.0
10983015,1.0
1756994X,1.0
01121642,1.0
19308337,1.0
00256196,1.0
00165107,1.0
03043959,1.0
21681007,1.0
20445385,1.0
0020174X,1.0
23296933,1.0
00221767,1.0
03057453,1.0
10010742,1.0
01757598,1.0
23523026,1.0
00319155,1.0
14710056,1.0
00340561,1.0
23528273,1.0
15475271,1.0
10532498,1.0
09302794,1.0
10582746,1.0
22131582,1.0
00916765,1.0
09660429,1.0
09621067,1.0
08908567,1.0
15209156,1.0
14752875,1.0
07403194,1.0
2561326X,1.0
09224777,1.0
24680249,1.0
26666367,1.0
02786915,1.0
00036870,1.0
09277765,1.0
07498063,1.0
00396060,1.0
02681161,1.0
03014851,1.0
00086363,1.0
02727358,1.0
00219738,1.0
25246992,1.0
10837159,1.0
10907165,1.0
23523018,1.0
00225347,1.0
03906078,1.0
15691993,1.0
2296875X,1.0
2151464X,1.0
08933952,1.0
00223050,1.0
17589193,1.0
17595029,1.0
00029149,1.0
07405472,1.0
0022202X,1.0
2047217X,1.0
00224804,1.0
23259671,1.0
15559041,1.0
09607692,1.0
26321297,1.0
15901874,1.0
03688666,1.0
0893133X,1.0
00333506,1.0
26984016,1.0
14759276,1.0
00219630,1.0
20494394,1.0
00951137,1.0
27305422,1.0
18120792,1.0
00020729,1.0
20490801,1.0
14752867,1.0
10752730,1.0
00490857,1.0
10870792,1.0
00029637,1.0
19393792,1.0
00406376,1.0
18739946,1.0
26628465,1.0
03065251,1.0
10659471,1.0
01618105,1.0
10079327,1.0
00219355,1.0
10924388,1.0
00219290,1.0
15255050,1.0
11786973,1.0
00071323,1.0
2100014X,1.0
14726831,1.0
14677881,1.0
17920981,1.0
09608923,1.0
08853924,1.0
1749799X,1.0
00126667,1.0
09644563,1.0
00121797,1.0
08044643,1.0
00313998,1.0
01676296,1.0
1527974X,1.0
21618313,1.0
02699370,1.0
13479032,1.0
15517144,1.0
15509389,1.0
15409996,1.0
00029610,1.0
14712431,1.0
20011326,1.0
10559965,1.0
20953119,1.0
10504648,1.0
14321084,1.0
11782013,1.0
26736187,1.0
21686165,1.0
11787074,1.0
09422056,1.0
13556037,1.0
17485908,1.0
09209964,1.0
01637258,1.0
03790738,1.0
00223913,1.0
00039993,1.0
17594758,1.0
09722815,1.0
26667568,1.0
02763478,1.0
20461402,1.0
26667215,1.0
00032409,1.0
0013726X,1.0
08203946,1.0
0828282X,1.0
19413289,1.0
10719164,1.0
10188827,1.0
00260495,1.0
00207292,1.0
02719142,1.0
00016322,1.0
14795868,1.0
11787031,1.0
19307381,1.0
14700328,1.0
15525783,1.0
25155172,1.0
20472404,1.0
14726947,1.0
00223166,1.0
00255769,1.0
00954470,1.0
17595061,1.0
00219150,1.0
03014738,1.0
18762859,1.0
00223085,1.0
15344320,1.0
10795006,1.0
